SHA,cbo,wmc,dit,rfc,lcom,totalMethods,totalFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,uniqueWordsQty,defect
7a955fd6c7de2bd912be544dcfe77f9173a7aa600,5,60,2,55,189,27,5,30,247,25,0,9,4,2,47,9,27,5,17,3,191,0
000f1ab4780fc9460975791c52597f7c04e15be70,3,10,1,1,9,7,4,1,38,7,1,2,0,0,0,22,4,0,4,2,69,0
000f1ab4780fc9460975791c52597f7c04e15be71,3,10,1,1,9,7,4,0,38,7,1,2,0,0,0,22,4,0,4,2,69,1
0024dbdd6ba3cc7797cc0b1ae537dcdc488c4c270,20,59,3,63,189,24,9,4,262,12,4,16,0,6,6,14,45,8,41,4,222,0
0024dbdd6ba3cc7797cc0b1ae537dcdc488c4c271,21,58,2,61,189,24,9,0,260,12,4,15,0,6,6,14,45,8,41,4,222,1
005681edd7b222a51d6bdf64cdcba489cd617d1d0,42,1656,28,796,199352,758,113,378,8719,455,98,443,76,218,279,726,943,390,603,22,2985,0
005681edd7b222a51d6bdf64cdcba489cd617d1d1,141,1655,16,682,199352,758,113,0,8717,455,98,442,76,218,279,726,943,390,603,22,2985,1
005f52621571d1d0d7140e28a1ad5f629bad3bb90,24,223,2,153,6,25,5,4,760,28,15,51,19,19,55,59,146,37,71,6,219,0
005f52621571d1d0d7140e28a1ad5f629bad3bb91,25,222,1,142,6,25,5,0,759,28,15,50,19,19,55,58,145,37,71,6,219,1
0081f8f594e3b67879370d712d35a809dd0250b40,10,54,1,49,0,18,8,5,251,14,1,3,6,0,64,2,48,16,47,5,120,0
0081f8f594e3b67879370d712d35a809dd0250b41,14,52,1,47,0,18,8,0,242,14,1,3,4,0,63,2,48,15,47,5,120,1
00c16dd03ad44c07088def792e7dd4583187caa30,14,7,1,10,1,3,1,0,29,3,0,3,0,0,2,0,5,0,5,1,38,0
00c16dd03ad44c07088def792e7dd4583187caa31,14,7,1,11,3,3,1,0,32,5,0,2,0,0,2,0,4,0,5,1,38,1
00c1e07f0575b518af4ce8e383dff92c6cf045820,6,12,2,18,1,2,0,1,64,0,1,1,1,0,21,1,16,0,15,4,41,0
00c1e07f0575b518af4ce8e383dff92c6cf045821,7,10,1,18,1,2,0,0,61,1,1,1,1,0,21,1,16,0,15,3,41,1
00f6841dc7f8afa785b92bbca6444326d515357e0,3,20,1,12,29,11,7,0,76,12,0,4,0,0,7,0,15,1,14,1,39,0
00f6841dc7f8afa785b92bbca6444326d515357e1,9,19,1,10,25,11,6,0,69,11,0,4,0,0,7,0,14,2,13,1,39,1
0166e8dbecc09b259dc939718bf6da36bd1085f80,5,1,2,1,0,1,0,0,6,1,0,0,0,0,1,0,0,0,0,0,10,0
0166e8dbecc09b259dc939718bf6da36bd1085f81,4,1,1,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,10,1
016bb44b880f16e7a3f08e9d378bc479858504050,17,72,2,44,44,21,22,1,321,10,0,11,6,6,47,17,61,19,36,10,183,0
016bb44b880f16e7a3f08e9d378bc479858504051,20,72,2,44,44,21,23,0,323,10,0,11,6,6,47,18,63,19,37,10,183,1
01702010cc102f3a7cfb00ccbff5c352cdd30c090,3,13,1,19,66,12,0,10,122,11,0,1,0,0,17,0,0,0,11,0,93,0
01702010cc102f3a7cfb00ccbff5c352cdd30c091,7,13,1,14,66,12,0,0,122,11,0,1,0,0,17,0,0,0,11,0,93,1
01722c44615d84c7cdc8bbdd8083e68e1d27406d1,8,16,1,13,4,5,8,0,78,6,0,10,0,0,4,1,18,0,16,5,100,1
019825890f4f01a12675439bb2b221e218c8f60e0,8,18,2,23,1,2,1,0,70,1,2,5,0,3,1,0,14,2,11,5,42,0
019825890f4f01a12675439bb2b221e218c8f60e1,13,18,1,21,1,2,1,0,70,1,2,5,0,3,1,0,14,2,11,5,42,1
01c1c79706c51ce3a80d84ab6c43d3bd5eadb0e20,21,59,5,57,382,34,14,0,258,8,14,5,0,1,1,13,51,7,44,3,173,0
01c1c79706c51ce3a80d84ab6c43d3bd5eadb0e21,21,59,2,59,382,34,15,0,260,8,14,5,0,1,2,13,52,7,45,3,174,1
01ca701d711569dfe283d7a07463e581c0bde1050,9,12,2,13,0,7,4,1,66,10,0,3,0,0,4,1,9,0,8,1,74,0
01ca701d711569dfe283d7a07463e581c0bde1051,11,12,1,12,0,7,4,0,66,10,0,3,0,0,4,1,9,0,8,1,74,1
01ca891884cee6de519113f89d9f72d354cb888c0,17,102,1,69,0,57,13,13,586,31,0,39,0,22,31,17,64,3,35,3,219,0
01ca891884cee6de519113f89d9f72d354cb888c1,24,99,1,66,0,57,13,0,583,31,0,36,0,22,31,17,64,3,35,2,219,1
01e7dff1a01bb6499364cedfd53493e686a341bc0,11,50,1,52,0,24,9,4,219,11,2,7,7,0,62,15,37,13,31,3,98,0
01e7dff1a01bb6499364cedfd53493e686a341bc1,15,49,1,49,0,24,9,0,219,11,2,7,7,0,62,14,37,13,31,3,98,1
021857e9a74c29ccc7e72715afc50855408dd4e21,28,100,6,72,475,44,29,2,543,18,10,40,0,1,17,58,105,6,58,3,248,1
02198296c266c1bd6c66f3f6c7c29a74e1e8c8940,53,176,8,200,137,51,36,22,1058,58,3,42,11,6,49,23,138,13,111,11,437,0
02198296c266c1bd6c66f3f6c7c29a74e1e8c8941,66,176,7,190,137,51,36,0,1058,58,3,42,11,6,49,23,138,13,111,11,437,1
021f169919e1d8c470d30672f6a8fda446f2456b0,56,75,17,107,114,39,15,10,590,23,4,19,2,2,16,4,75,6,58,11,286,0
021f169919e1d8c470d30672f6a8fda446f2456b1,66,72,13,109,105,36,15,0,596,23,4,19,2,2,16,4,75,6,58,15,296,1
02209474962aacfe3d9031cc3206a7a4453bacdf0,59,87,1,102,1330,57,6,3,584,67,0,12,3,0,28,1,62,0,72,3,252,0
02209474962aacfe3d9031cc3206a7a4453bacdf1,67,87,1,101,1330,57,6,0,584,67,0,12,3,0,28,2,62,0,73,3,252,1
02474662105189f4ea7778cbcc11a9580c11d79e0,178,529,90,549,18275,251,24,17,2807,309,12,172,14,5,132,27,192,56,1050,21,845,0
02474662105189f4ea7778cbcc11a9580c11d79e1,168,529,28,511,18275,251,24,0,2807,309,12,172,14,5,132,27,192,56,1050,21,845,1
024d2e0ea3b8e7e3b26f5e658b449a0861f3112d0,18,51,2,54,18,34,9,15,230,29,1,6,0,1,5,14,58,1,18,2,79,0
024d2e0ea3b8e7e3b26f5e658b449a0861f3112d1,22,51,2,52,18,34,9,0,229,29,1,6,0,1,5,14,57,1,18,2,79,1
01722c44615d84c7cdc8bbdd8083e68e1d27406d0,12,16,1,15,4,5,8,0,81,6,0,10,0,0,5,1,20,0,18,5,102,0
01f73a761a05122efb0f9f90bae4bf05e72df94d0,8,44,2,25,136,17,0,1,190,13,20,2,0,4,54,6,23,17,22,3,141,0
021857e9a74c29ccc7e72715afc50855408dd4e20,27,102,3,72,475,44,29,0,563,18,10,41,0,1,17,60,107,6,59,4,250,0
027760fb21dae9d93eddb0e40754b7a51aad1fd60,50,158,10,128,2,83,18,1,630,33,2,46,1,6,3,56,91,11,56,9,299,0
032efa3e0d9b2fc437cf66fcc475b83a666bfd520,32,26,6,79,4,17,23,4,245,3,0,4,1,2,20,15,51,10,45,2,163,0
037f9d3a4bc0af157dca56cb2f0dd688c9e09b6e0,12,20,4,24,30,14,6,3,140,8,0,2,1,0,6,2,9,1,6,2,114,0
03f77db1b58d130239384b9196b04655b6b1fa450,1,18,1,0,153,18,0,0,107,0,0,0,0,0,0,0,0,0,0,0,128,0
045349144c1a79c6b6372c5b90a7dd9a864efd3a0,7,28,2,23,0,4,1,1,89,5,4,3,1,6,17,8,18,5,13,9,75,0
04bb521346b25b2120685b96585903e257849f1d0,49,63,6,73,92,27,17,3,369,7,7,14,3,3,25,7,45,3,36,11,263,0
05264e39dd583cc401c57413117076fd1bd3986d0,15,59,5,73,96,16,10,5,274,12,6,16,1,3,9,29,69,40,49,4,131,0
05d7605ef3d0bae785b7c7c588f4a3f67e0c57d80,8,45,8,46,67,16,6,15,251,9,6,2,9,0,16,5,32,2,24,3,263,0
064e77abd4b235007d05f99239a10f5e0fe93a770,2,6,1,10,3,3,1,0,32,1,0,0,2,0,2,1,6,0,5,1,30,0
07773b96802d62635e3f85fde72351bb3819bb970,7,12,2,9,21,7,0,0,28,5,0,5,0,0,2,1,1,0,1,1,24,0
078c024ac5b03560e4c40b4530321c1c4073f85b0,37,253,10,133,1880,88,69,12,1356,83,3,37,1,42,0,137,438,213,216,3,413,0
07dc19d145cc03b08aeaa3c211436ee0143dbbbd0,8,24,1,0,276,24,0,0,142,0,0,0,0,0,0,0,0,0,0,0,134,0
086275fe068bd7003b6ff47e0c72461598daeb6a0,32,146,5,131,635,65,26,6,947,48,13,31,7,5,45,24,86,26,65,6,450,0
08bd1c04dc123b1fa7df32e27e936eb4bed006400,12,44,1,58,55,11,5,11,194,17,6,7,2,0,8,8,54,3,39,5,134,0
094217614c996d50627bc721b0faf5a3d8fed9450,37,66,14,132,124,36,22,15,425,40,0,21,1,3,63,3,33,4,52,14,210,0
098bba1a0b95f65b8613a4313571be9ef0835ce60,21,275,1,176,0,183,20,0,800,37,10,65,0,14,24,42,131,10,124,3,288,0
0a12840e6823677f17fe2b014147ff2fc48a4ba30,8,24,6,27,15,17,9,5,131,16,1,2,0,0,4,6,10,0,9,3,95,0
032efa3e0d9b2fc437cf66fcc475b83a666bfd521,39,26,6,78,4,17,23,0,244,3,0,4,1,2,20,14,51,10,45,2,163,1
